,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,mean
0,,4.483935704043621,6.182867772951765,7.563480923038713,5.649250539250379,7.678727169464703,8.740695430711762,6.659301715692873,6.3630792323103
1,4.483935704043621,,5.145545673247346,6.306136168928826,5.437047170911043,6.631409607157403,6.315698278117067,7.06699686838167,6.3630792323103
2,6.182867772951765,5.145545673247346,,7.235741335830519,10.267607613730515,6.430791995022528,8.682947399850626,9.413668528786578,6.3630792323103
3,7.563480923038713,6.306136168928826,7.235741335830519,,6.44837321475149,4.216954406073587,3.868904468878639,4.055770844333827,6.3630792323103
4,5.649250539250379,5.437047170911043,10.267607613730515,6.44837321475149,,6.1186631698426535,7.224197819801199,8.753627930846237,6.3630792323103
5,7.678727169464703,6.631409607157403,6.430791995022528,4.216954406073587,6.1186631698426535,,3.575034906980286,3.9538914207432185,6.3630792323103
6,8.740695430711762,6.315698278117067,8.682947399850626,3.868904468878639,7.224197819801199,3.575034906980286,,4.058950427319323,6.3630792323103
7,6.659301715692873,7.06699686838167,9.413668528786578,4.055770844333827,8.753627930846237,3.9538914207432185,4.058950427319323,,6.3630792323103
8,6.70832275073626,5.912395638683853,7.622738617059982,5.6707659088336575,7.128395351304787,5.515067525040625,6.066632675951271,6.280315390871961,6.3630792323103
