,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,mean
0,,2.262387795077689,1.5837297026709742,3.306547790936981,3.2041030245767,4.282005978143979,3.3626134682666913,1.5115591313717935,2.818174193517582
1,2.262387795077689,,2.511948938377613,2.7303225980585495,1.5238248428328833,4.186904242943413,2.6417809044906444,1.184753663032603,2.818174193517582
2,1.5837297026709742,2.511948938377613,,4.340395921029629,3.555264852610465,4.312499732696238,4.329398494068421,1.980659880417344,2.818174193517582
3,3.306547790936981,2.7303225980585495,4.340395921029629,,1.995060436695278,2.5147460283954364,2.0592880973444743,2.3625550907086996,2.818174193517582
4,3.2041030245767,1.5238248428328833,3.555264852610465,1.995060436695278,,4.134629506728768,2.3209482308052496,1.7023887983910082,2.818174193517582
5,4.282005978143979,4.186904242943413,4.312499732696238,2.5147460283954364,4.134629506728768,,2.423742082839815,4.222696994124338,2.818174193517582
6,3.3626134682666913,2.6417809044906444,4.329398494068421,2.0592880973444743,2.3209482308052496,2.423742082839815,,2.362121190856632,2.818174193517582
7,1.5115591313717935,1.184753663032603,1.980659880417344,2.3625550907086996,1.7023887983910082,4.222696994124338,2.362121190856632,,2.818174193517582
8,2.7875638415778297,2.4345604264019136,3.230556788838669,2.758416566167007,2.6337456703771926,3.7253177951245697,2.7856989240959895,2.189533535557488,2.818174193517582
