,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,mean
0,,2.200855043212086,1.3760292640620526,4.325773784626144,1.7793075098376794,5.818699926315317,3.2667652835715972,4.141846212011722,2.842112671188694
1,2.200855043212086,,2.0957600377769476,2.530129300040144,1.132454094079292,4.232785244898239,1.1290911179319996,2.499529830252187,2.842112671188694
2,1.3760292640620526,2.0957600377769476,,4.561703974746316,1.881067889114411,6.136714480895168,3.225268296404195,4.387587889393646,2.842112671188694
3,4.325773784626144,2.530129300040144,4.561703974746316,,2.676754302300638,1.9622125968495339,1.6342701533405894,1.4902816697166614,2.842112671188694
4,1.7793075098376794,1.132454094079292,1.881067889114411,2.676754302300638,,4.270895045402976,1.5904458251720484,2.228320184814225,2.842112671188694
5,5.818699926315317,4.232785244898239,6.136714480895168,1.9622125968495339,4.270895045402976,,3.278798573659648,1.8267809373941912,2.842112671188694
6,3.2667652835715972,1.1290911179319996,3.225268296404195,1.6342701533405894,1.5904458251720484,3.278798573659648,,1.899026325463791,2.842112671188694
7,4.141846212011722,2.499529830252187,4.387587889393646,1.4902816697166614,2.228320184814225,1.8267809373941912,1.899026325463791,,2.842112671188694
8,3.272753860519514,2.260086381170128,3.3805902617703905,2.740160825945718,2.222749264388753,3.932412400773582,2.2890950822205527,2.6390532927209174,2.842112671188694
