epoch,loss
1,5.3686
2,4.8557
3,4.8523
4,4.8385
5,4.8514
6,4.8257
7,4.8331
8,4.7898
9,4.699
10,4.722
11,4.8688
12,4.5786
13,4.5899
14,4.4923
15,4.4011
16,4.3286
17,4.4067
18,4.3929
19,4.3998
20,4.3407
21,4.243
22,4.1501
23,4.0841
24,4.1953
25,4.0979
26,4.1186
27,4.1503
28,3.9176
29,4.1848
30,3.7551
31,4.1362
32,3.8332
33,3.6651
34,3.6117
35,3.5192
36,3.6035
37,3.5585
38,3.5187
39,3.399
40,3.3426
41,3.9901
42,3.3092
43,3.4459
44,3.1367
45,3.1171
46,3.2668
47,3.3699
48,3.2386
49,3.0935
50,2.9855
51,2.8598
52,3.3085
53,2.7987
54,2.9619
55,2.3853
56,2.9252
57,2.8284
58,2.5188
59,2.8085
60,2.3609
61,2.7287
62,2.9016
63,2.5025
64,2.2746
65,2.466
66,1.9382
67,2.1319
68,2.4232
69,2.1348
70,1.9751
71,1.8655
72,2.3925
73,2.1813
74,1.9726
75,1.902
76,1.8621
77,2.064
78,2.2435
79,2.1146
80,1.7074
81,1.859
82,1.7306
83,1.6214
84,1.756
85,1.6289
86,1.9568
87,2.0109
88,1.7933
89,1.4287
90,1.499
91,1.4696
92,1.6959
93,1.4994
94,1.5977
95,1.5872
96,1.5957
97,1.4633
98,1.4672
99,1.7492
100,1.6467
101,1.6527
102,1.3032
103,1.3653
104,1.3577
105,1.4588
106,1.5517
107,1.2421
108,1.0805
109,1.3172
110,1.0573
111,1.1006
112,1.4352
113,1.1277
114,1.2186
115,1.2537
116,1.1711
117,1.3197
118,0.7724
119,0.86153
120,1.0901
121,1.0896
122,1.1649
123,1.1716
124,1.2153
125,1.1599
126,1.1374
127,1.4445
128,1.2599
129,0.93849
130,1.1768
131,0.65354
132,1.0091
133,0.96196
134,1.0405
135,1.0532
136,0.90732
137,0.8133
138,0.92738
139,0.89349
140,0.78193
141,1.0698
142,0.93631
143,0.78944
144,1.0773
145,1.034
146,0.97339
147,0.91656
148,1.0242
149,1.1974
150,1.2097
151,1.0292
152,0.8437
153,0.67128
154,0.82023
155,0.87713
156,1.08
157,0.9267
158,0.76202
159,1.0458
160,0.97585
161,0.85755
162,0.7167
163,0.71628
164,0.8435
165,1.2246
166,0.81198
167,0.93949
168,0.99977
169,0.67027
170,0.74301
171,0.9899
172,0.71968
173,0.87981
174,0.85946
175,0.98206
176,1.6088
177,0.89881
178,1.1695
179,0.81324
180,0.84944
181,1.0024
182,0.74619
183,0.85274
184,0.95337
185,0.79652
186,0.85655
187,0.89438
188,0.76467
189,0.83562
190,0.64388
191,0.89647
192,1.0342
193,0.79738
194,0.69197
195,0.62642
196,0.66736
197,0.91532
198,0.77066
199,0.83987
200,0.58286
