,Slide 1,Slide 2,Slide 3,mean
0,,16.032978244702825,18.282326604268025,17.848212812223903
1,16.032978244702825,,19.229333587700847,17.848212812223903
2,18.282326604268025,19.229333587700847,,17.848212812223903
3,17.157652424485427,17.631155916201834,18.755830095984436,17.848212812223903
