,Slide 1,Slide 2,Slide 3,Slide 4,Slide 5,Slide 6,Slide 7,Slide 8,mean
0,,4.10664156985269,5.2346809177655125,6.822676077535582,4.34721104887107,7.784361617728838,9.228143197711859,5.503984269274047,5.389092148311176
1,4.10664156985269,,4.65857106305835,5.163683712219807,3.463497426276834,6.873983913070324,3.2036656397089436,3.7248095364760005,5.389092148311176
2,5.2346809177655125,4.65857106305835,,6.137944597176567,5.096810904879664,8.310618500270017,7.316827196702693,7.558239807837204,5.389092148311176
3,6.822676077535582,5.163683712219807,6.137944597176567,,4.561850721073981,3.8639773132456106,3.388856139576604,3.025084182541614,5.389092148311176
4,4.34721104887107,3.463497426276834,5.096810904879664,4.561850721073981,,7.126555423829158,5.458011388218038,5.938921331230269,5.389092148311176
5,7.784361617728838,6.873983913070324,8.310618500270017,3.8639773132456106,7.126555423829158,,5.972399078522727,3.617268977700971,5.389092148311176
6,9.228143197711859,3.2036656397089436,7.316827196702693,3.388856139576604,5.458011388218038,5.972399078522727,,3.4053046003579217,5.389092148311176
7,5.503984269274047,3.7248095364760005,7.558239807837204,3.025084182541614,5.938921331230269,3.617268977700971,3.4053046003579217,,5.389092148311176
8,6.1468140998199425,4.456407551523279,6.330527569670001,4.709153249052824,5.141836892054144,6.221309260623949,5.4247438915426835,4.681944672202576,5.389092148311176
